assetPath,spriteLoaded,width,height,opaqueWidth,opaqueHeight,nearWhiteAtTransparentEdge,alphaIsTransparency,textureTypeSprite
Assets/Resources/FamilyMonsters/Class4/astral_eclipse_golem.png,true,2048,2048,1884,1974,3447,true,true
Assets/Resources/FamilyMonsterCards/Class4/astral_eclipse_golem.png,true,768,768,706,740,343,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_idle_0.png,true,675,675,599,594,318,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_idle_1.png,true,675,675,611,598,440,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_idle_2.png,true,675,675,627,601,730,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_idle_3.png,true,675,675,600,594,321,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_move_0.png,true,675,675,564,581,431,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_move_1.png,true,675,675,510,586,410,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_move_2.png,true,675,675,516,568,344,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_move_3.png,true,675,675,547,579,376,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_attack_0.png,true,675,675,533,466,278,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_attack_1.png,true,675,675,615,477,322,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_attack_2.png,true,675,675,617,478,308,true,true
Assets/Resources/MonsterBattle/mon_astral_eclipse_golem_attack_3.png,true,675,675,590,476,197,true,true
Assets/Resources/FamilyMonsters/Class4/magic_sword_saint_luciel.png,true,1254,1254,1226,1231,869,true,true
Assets/Resources/FamilyMonsterCards/Class4/magic_sword_saint_luciel.png,true,768,768,751,755,217,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_idle_0.png,true,749,609,556,530,104,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_idle_1.png,true,749,609,591,521,142,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_idle_2.png,true,749,609,602,532,228,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_idle_3.png,true,749,609,589,528,150,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_move_0.png,true,675,675,569,400,39,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_move_1.png,true,675,675,524,375,18,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_move_2.png,true,675,675,627,350,18,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_move_3.png,true,675,675,593,400,35,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_attack_0.png,true,591,772,477,447,75,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_attack_1.png,true,591,772,471,667,147,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_attack_2.png,true,591,772,522,403,198,true,true
Assets/Resources/MonsterBattle/mon_magic_sword_saint_luciel_attack_3.png,true,591,772,498,443,153,true,true
Assets/Resources/FamilyMonsters/Class4/dark_magic_machine_god_merchion.png,true,1254,1254,1225,1220,956,true,true
Assets/Resources/FamilyMonsterCards/Class4/dark_magic_machine_god_merchion.png,true,768,768,750,748,280,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_idle_0.png,true,675,675,547,551,164,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_idle_1.png,true,675,675,551,550,125,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_idle_2.png,true,675,675,543,544,140,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_idle_3.png,true,675,675,569,544,120,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_move_0.png,true,675,675,514,499,346,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_move_1.png,true,675,675,509,480,243,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_move_2.png,true,675,675,500,489,264,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_move_3.png,true,675,675,495,496,227,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_attack_0.png,true,675,675,425,404,163,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_attack_1.png,true,675,675,427,404,178,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_attack_2.png,true,675,675,478,427,333,true,true
Assets/Resources/MonsterBattle/mon_dark_magic_machine_god_merchion_attack_3.png,true,675,675,400,400,187,true,true
