source,output,width,height,transparent_pixels,opaque_pixels,removed_bg_islands,removed_bg_island_pixels,alpha_bbox
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/姿絵.png,WitchTowerGame/Assets/Resources/FamilyMonsters/Golem/rock_golem.png,1254,1254,1236247,336269,2,994,"(256, 227, 983, 1020)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/姿絵.png,WitchTowerGame/Assets/Resources/FamilyMonsterCards/Golem/rock_golem.png,768,768,462467,127357,scaled,scaled,"(156, 139, 602, 625)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/待機.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_idle_0.png,627,627,253457,139672,8,2058,"(97, 82, 568, 579)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/待機.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_idle_1.png,627,627,260815,132314,8,2058,"(66, 137, 545, 579)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/待機.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_idle_2.png,627,627,247142,145987,8,2058,"(41, 58, 511, 579)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/待機.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_idle_3.png,627,627,253509,139620,8,2058,"(41, 82, 508, 579)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/待機.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_idle.png,627,627,253457,139672,8,2058,"(97, 82, 568, 579)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/移動.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_move_0.png,627,627,293503,99626,4,831,"(160, 79, 586, 528)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/移動.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_move_1.png,627,627,296999,96130,4,831,"(135, 136, 563, 513)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/移動.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_move_2.png,627,627,295400,97729,4,831,"(69, 79, 494, 524)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/移動.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_move_3.png,627,627,302144,90985,4,831,"(51, 92, 453, 529)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/攻撃.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_0.png,627,627,270368,122761,3,2892,"(84, 100, 540, 555)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/攻撃.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_1.png,627,627,265732,127397,3,2892,"(51, 121, 627, 555)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/攻撃.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_2.png,627,627,255616,137513,3,2892,"(0, 110, 599, 555)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/攻撃.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack_3.png,627,627,271437,121692,3,2892,"(67, 100, 523, 555)"
/Users/andou/Desktop/モンスター一覧/ゴーレム/ゴーレム１/攻撃.png,WitchTowerGame/Assets/Resources/MonsterBattle/mon_rock_golem_attack.png,627,627,270368,122761,3,2892,"(84, 100, 540, 555)"
